timestamp (us),gx (d/s),gy (d/s),gz (d/s)
8586995,-0.18,-0.18,0.18
8594070,0.12,-0.12,0.06
8600174,0.18,-0.06,-0.06
8606278,0.18,0,-0.18
8612966,0.06,-0.06,-0.24
8619080,0,-0.24,-0.24
8626190,0.06,-0.24,-0.18
8632325,0.18,-0.18,0
8638459,0.24,0.06,0.18
8644594,0.24,0.06,0.12
8650736,0.18,0.06,0.06
8656880,0,-0.06,0.06
8665032,-0.12,-0.12,0.06
8671177,-0.06,0,0.06
8677333,0,0.06,0.06
8688256,0.06,-0.06,0.18
8694384,0.18,-0.12,0.12
8700506,0.31,0,-0.06
8707624,0.37,0.12,-0.24
8713757,0,0.12,-0.24
8720467,-0.06,0.12,-0.06
8726590,-0.06,0.12,0.06
8732737,0,0.06,0.12
8738879,0.12,-0.12,-0.06
8746030,0.18,-0.12,-0.06
8752183,0.18,-0.12,0
8758337,0.31,0.06,0.12
8764492,0.31,0,0.12
8771638,0.31,-0.12,0.18
8777791,0.18,-0.12,0.18
8784975,0.06,0.06,0.12
8791145,0.06,0.18,0
8797318,0.12,0.18,-0.06
8803495,0.06,0,-0.06
8809671,-0.06,-0.18,0
8815860,-0.06,-0.18,0.06
8824065,0.06,0,-0.06
8830243,0.12,0.12,0
8844011,-0.06,0.12,0.06
8850219,-0.06,0.18,0
8856023,-0.06,0.12,-0.06
8861833,0,0.12,-0.12
8868470,0.31,0.06,-0.18
8875265,0.24,0.06,-0.18
8881071,0.12,0.06,-0.12
8886891,-0.06,0.06,0
8892711,-0.12,0.06,0.06
8898534,0.12,0.06,-0.06
8905205,0.18,-0.06,-0.06
8911037,0.06,-0.12,0
8916875,0,-0.12,0
8922710,-0.12,-0.18,0
8929132,-0.31,-0.18,0.12
8935833,-0.18,-0.06,0.06
8941676,-0.06,0,0.06
8947524,0.18,-0.06,0
8953373,0.43,-0.31,-0.06
8959230,0.37,-0.31,-0.12
8965095,0.12,-0.31,-0.12
8971817,0,-0.18,-0.06
8977682,-0.12,-0.18,0
8984132,0,0.18,0.06
8989988,0.06,0.31,0.12
8995864,0.12,0.24,0.12
9001737,0.12,0.06,0.12
9008485,0.24,0,-0.12
9014366,0.31,0.12,-0.12
9020256,0.18,0.18,-0.06
9026149,0,0.18,-0.06
9032044,-0.12,0.06,-0.06
9038514,0,-0.06,0.06
9045289,0.06,-0.06,0.12
9051192,0.06,-0.06,0.06
9057100,-0.06,-0.06,0
9063007,-0.06,-0.06,0.06
9068921,0,-0.12,0.12
9074837,0.06,-0.12,0.18
9081647,0.06,0,0.18
9087569,0.12,0.12,0.06
9094114,0,0,-0.12
9100068,-0.12,-0.18,-0.12
9106037,-0.12,-0.31,-0.12
9112009,0,-0.31,-0.18
9118920,0.12,-0.12,-0.12
9124897,0.31,0,-0.06
9130876,0.37,0.06,0
9136860,0.43,0.06,0
9142850,0.24,-0.06,-0.06
9149417,0,-0.18,-0.12
9156319,0.06,-0.12,-0.12
9162313,0.12,-0.06,-0.24
9168308,0,0,-0.06
9174309,-0.06,0,0.12
9180353,0,0,0.12
9186356,0,-0.06,0.12
9193328,0,0,0
9199345,0,0.06,-0.06
9205979,0.06,0.12,-0.06
9211985,0.06,0.06,0
9218010,0.06,0,0.06
9224999,0.18,0.06,0
9231030,0.24,0.06,0
9237064,0.18,0.06,0.06
9243105,0.06,-0.06,0.06
