Clock,gx,gy,gz,,,,,
8752195,-12.51,128.05,9.09,,,,,
8758083,-11.6,132.87,13.73,,,,,
8763974,1.34,133.3,18.25,,,,,
8769871,9.4,131.77,18.68,,,,,
8777023,15.69,132.08,19.04,,,,,
8784225,25.39,136.23,20.87,,,,,
8790126,29.79,137.63,22.58,,,,,
8796051,33.33,137.63,23.93,,,,,
8801970,35.28,136.54,23.5,,,,,
8807878,35.03,134.95,21,,,,,
8815098,32.84,141.11,12.39,,,,,
8821035,35.22,154.3,8.73,,,,,
8826966,40.53,172.79,5.92,,,,,
8832895,47.3,192.26,3.78,,,,,
8840130,57.37,222.41,-0.37,,,,,
8847333,58.23,231.81,-3.6,,,,,
8853270,52.61,241.39,-15.2,,,,,
8859243,49.68,242.49,-21.67,,,,,
8865217,47.85,242.13,-27.28,,,,,
